"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Create file with empty directory","LMS service","Sun Jun 15 07:48:18 GMT 2025","passed","Sun Jun 15 07:48:18 GMT 2025","Validate entity","Files","",""
"","552","Create user","LMS service","Sun Jun 15 07:48:19 GMT 2025","passed","Sun Jun 15 07:48:19 GMT 2025","Create entity","Users","",""
"","16","Create file with empty filename","LMS service","Sun Jun 15 07:48:17 GMT 2025","passed","Sun Jun 15 07:48:17 GMT 2025","Validate entity","Files","",""
"","283","Get exercises","LMS service","Sun Jun 15 07:48:16 GMT 2025","passed","Sun Jun 15 07:48:16 GMT 2025","Get entities","Exercises","",""
"","551","Login with correct email and password","LMS service","Sun Jun 15 07:48:11 GMT 2025","passed","Sun Jun 15 07:48:11 GMT 2025","Login","Authentication","",""
"","26","Create course","LMS service","Sun Jun 15 07:48:12 GMT 2025","passed","Sun Jun 15 07:48:12 GMT 2025","Create entity","Courses","",""
"","31","Update course","LMS service","Sun Jun 15 07:48:12 GMT 2025","passed","Sun Jun 15 07:48:12 GMT 2025","Update entity","Courses","",""
"","260","Get file with incorrect file id","LMS service","Sun Jun 15 07:48:19 GMT 2025","passed","Sun Jun 15 07:48:19 GMT 2025","Validate entity","Files","",""
"","22","Get exercise","LMS service","Sun Jun 15 07:48:15 GMT 2025","passed","Sun Jun 15 07:48:15 GMT 2025","Get entity","Exercises","",""
"","20","Delete exercise","LMS service","Sun Jun 15 07:48:15 GMT 2025","passed","Sun Jun 15 07:48:15 GMT 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Sun Jun 15 07:48:20 GMT 2025","passed","Sun Jun 15 07:48:20 GMT 2025","Get entity","Users","",""
"","559","Create user","LMS service","Sun Jun 15 07:48:19 GMT 2025","passed","Sun Jun 15 07:48:20 GMT 2025","Create entity","Users","",""
"","294","Delete file","LMS service","Sun Jun 15 07:48:18 GMT 2025","passed","Sun Jun 15 07:48:19 GMT 2025","Delete entity","Files","",""
"","26","Create exercise","LMS service","Sun Jun 15 07:48:14 GMT 2025","passed","Sun Jun 15 07:48:14 GMT 2025","Create entity","Exercises","",""
"","16","Create file","LMS service","Sun Jun 15 07:48:16 GMT 2025","passed","Sun Jun 15 07:48:16 GMT 2025","Create entity","Files","",""
"","15","Get file","LMS service","Sun Jun 15 07:48:17 GMT 2025","passed","Sun Jun 15 07:48:17 GMT 2025","Get entity","Files","",""
"","290","Create user","LMS service","Sun Jun 15 07:48:19 GMT 2025","passed","Sun Jun 15 07:48:19 GMT 2025","Create entity","Users","",""
"","19","Update exercise","LMS service","Sun Jun 15 07:48:14 GMT 2025","passed","Sun Jun 15 07:48:14 GMT 2025","Update entity","Exercises","",""
"","29","Get courses","LMS service","Sun Jun 15 07:48:11 GMT 2025","passed","Sun Jun 15 07:48:11 GMT 2025","Get entities","Courses","",""
